[ 2025-07-13 16:36:16,533 ] 39 fastapi - WARNING - email-validator not installed, email fields will be treated as str.
To install, run: pip install email-validator
[ 2025-07-13 16:36:29,280 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=temperature%2Ctimestamp&offset=0&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-12+15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:36:29,361 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=temperature%2Ctimestamp&offset=1000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-12+15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:36:29,450 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=temperature%2Ctimestamp&offset=2000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-12+15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:36:29,533 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=temperature%2Ctimestamp&offset=3000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-12+15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:36:29,620 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=temperature%2Ctimestamp&offset=4000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-12+15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:36:29,737 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=temperature%2Ctimestamp&offset=5000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-12+15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:36:29,813 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=temperature%2Ctimestamp&offset=6000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-12+15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:37:12,993 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature%2Ctimestamp&offset=0&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-13+12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:37:13,079 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature%2Ctimestamp&offset=1000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-13+12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:37:13,161 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature%2Ctimestamp&offset=2000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-13+12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:37:13,224 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature%2Ctimestamp&offset=3000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-13+12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:37:13,295 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature%2Ctimestamp&offset=4000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-13+12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:37:13,365 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature%2Ctimestamp&offset=5000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-13+12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:37:13,423 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature%2Ctimestamp&offset=6000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-13+12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:37:13,486 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature%2Ctimestamp&offset=7000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-13+12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:37:13,550 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature%2Ctimestamp&offset=8000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-13+12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:37:13,618 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature%2Ctimestamp&offset=9000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-13+12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-13 16:37:13,682 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature%2Ctimestamp&offset=10000&limit=1000&timestamp=gte.2025-05-12+12%3A00%3A00&timestamp=lte.2025-05-13+12%3A00%3A00 "HTTP/2 200 OK"
