[ 2025-07-11 19:59:56,048 ] 259 absl - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
[ 2025-07-11 20:00:02,439 ] 39 fastapi - WARNING - email-validator not installed, email fields will be treated as str.
To install, run: pip install email-validator
[ 2025-07-11 20:00:27,439 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature&offset=0&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-12T15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 20:00:27,512 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature&offset=1000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-12T15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 20:00:27,576 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature&offset=2000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-12T15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 20:00:27,626 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature&offset=3000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-12T15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 20:00:27,686 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature&offset=4000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-12T15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 20:00:27,741 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=temperature&offset=5000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-12T15%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 20:00:45,278 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=humidity%28%25%29&offset=0&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-12T15%3A00%3A00 "HTTP/2 400 Bad Request"
[ 2025-07-11 20:01:16,491 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=latency%28ms%29&offset=0&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-12T15%3A00%3A00 "HTTP/2 400 Bad Request"
[ 2025-07-11 20:02:07,768 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=rssi%28dBm%29&offset=0&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-12T15%3A00%3A00 "HTTP/2 400 Bad Request"
