[ 2025-07-13 18:19:27,412 ] 39 fastapi - WARNING - email-validator not installed, email fields will be treated as str.
To install, run: pip install email-validator
[ 2025-07-13 18:19:38,162 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%22humidity%28%25%29%22%2Ctimestamp&timestamp=gte.2025-05-12+12%3A00%3A00&order=timestamp.asc&offset=0&limit=1000 "HTTP/2 200 OK"
[ 2025-07-13 18:19:38,233 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=%22humidity%28%25%29%22%2Ctimestamp&timestamp=gte.2025-05-12+12%3A00%3A00&order=timestamp.asc&offset=0&limit=1000 "HTTP/2 200 OK"
[ 2025-07-13 18:19:38,308 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%22humidity%28%25%29%22%2Ctimestamp&timestamp=gte.2025-05-12+12%3A00%3A00&order=timestamp.asc&offset=1000&limit=1000 "HTTP/2 200 OK"
[ 2025-07-13 18:19:38,385 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=%22humidity%28%25%29%22%2Ctimestamp&timestamp=gte.2025-05-12+12%3A00%3A00&order=timestamp.asc&offset=1000&limit=1000 "HTTP/2 200 OK"
[ 2025-07-13 18:19:38,480 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%22humidity%28%25%29%22%2Ctimestamp&timestamp=gte.2025-05-12+12%3A00%3A00&order=timestamp.asc&offset=2000&limit=1000 "HTTP/2 200 OK"
[ 2025-07-13 18:19:38,588 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=%22humidity%28%25%29%22%2Ctimestamp&timestamp=gte.2025-05-12+12%3A00%3A00&order=timestamp.asc&offset=2000&limit=1000 "HTTP/2 200 OK"
[ 2025-07-13 18:19:38,644 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%22humidity%28%25%29%22%2Ctimestamp&timestamp=gte.2025-05-12+12%3A00%3A00&order=timestamp.asc&offset=3000&limit=1000 "HTTP/2 200 OK"
[ 2025-07-13 18:19:38,719 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=%22humidity%28%25%29%22%2Ctimestamp&timestamp=gte.2025-05-12+12%3A00%3A00&order=timestamp.asc&offset=3000&limit=1000 "HTTP/2 200 OK"
[ 2025-07-13 18:19:38,795 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%22humidity%28%25%29%22%2Ctimestamp&timestamp=gte.2025-05-12+12%3A00%3A00&order=timestamp.asc&offset=4000&limit=1000 "HTTP/2 200 OK"
[ 2025-07-13 18:19:38,871 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/iot_simulation?select=%22humidity%28%25%29%22%2Ctimestamp&timestamp=gte.2025-05-12+12%3A00%3A00&order=timestamp.asc&offset=4000&limit=1000 "HTTP/2 200 OK"
