[ 2025-07-11 10:00:39,626 ] 259 absl - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
[ 2025-07-11 10:00:46,364 ] 39 fastapi - WARNING - email-validator not installed, email fields will be treated as str.
To install, run: pip install email-validator
[ 2025-07-11 10:01:10,008 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=0&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,089 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=1000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,161 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=2000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,235 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=3000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,309 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=4000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,378 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=5000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,445 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=6000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,518 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=7000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,593 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=8000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,669 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=9000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,728 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=10000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,797 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=11000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,863 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=12000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,921 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=13000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:10,989 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=14000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,057 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=15000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,127 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=16000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,201 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=17000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,270 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=18000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,330 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=19000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,401 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=20000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,470 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=21000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,536 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=22000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,616 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=23000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,672 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=24000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,739 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=25000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,797 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=26000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,865 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=27000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,929 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=28000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:11,996 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=29000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:12,061 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=30000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:12,132 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=31000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:12,207 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=32000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:12,275 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=33000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
[ 2025-07-11 10:01:12,337 ] 1025 httpx - INFO - HTTP Request: GET https://abcdkzdkpdpilgtstaiq.supabase.co/rest/v1/esp32_real_data?select=%2A&offset=34000&limit=1000&timestamp=gte.2025-05-12T12%3A00%3A00&timestamp=lte.2025-05-13T12%3A00%3A00 "HTTP/2 200 OK"
